player,total_runs,balls_faced,times_out,matches_played,batting_average,strike_rate,fours,sixes,runs_conceded,wickets,balls_bowled,matches_bowled,economy_rate,bowling_average,bowling_strike_rate,role,total_matches
V Kohli,8014.0,6236.0,218.0,244.0,36.76,128.51,708.0,273.0,371.0,5.0,264.0,26.0,8.43,74.2,52.8,All-rounder,244.0
S Dhawan,6769.0,5483.0,194.0,221.0,34.89,123.45,768.0,153.0,72.0,4.0,49.0,6.0,8.82,18.0,12.25,Batsman,221.0
RG Sharma,6630.0,5183.0,232.0,251.0,28.58,127.92,599.0,281.0,462.0,16.0,349.0,32.0,7.94,28.88,21.81,All-rounder,251.0
DA Warner,6567.0,4849.0,164.0,184.0,40.04,135.43,663.0,236.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0,Batsman,184.0
SK Raina,5536.0,4177.0,168.0,200.0,32.95,132.54,506.0,204.0,1139.0,30.0,930.0,69.0,7.35,37.97,31.0,All-rounder,200.0
MS Dhoni,5243.0,3947.0,149.0,228.0,35.19,132.84,363.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batsman,228.0
AB de Villiers,5181.0,3487.0,125.0,170.0,41.45,148.58,414.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batsman,170.0
CH Gayle,4997.0,3516.0,128.0,141.0,39.04,142.12,408.0,359.0,755.0,19.0,584.0,38.0,7.76,39.74,30.74,All-rounder,141.0
RV Uthappa,4954.0,3927.0,184.0,197.0,26.92,126.15,481.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batsman,197.0
KD Karthik,4843.0,3687.0,189.0,233.0,25.62,131.35,466.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batsman,233.0
KL Rahul,4689.0,3578.0,106.0,122.0,44.24,131.05,400.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batsman,122.0
AM Rahane,4642.0,3858.0,156.0,171.0,29.76,120.32,479.0,103.0,5.0,1.0,6.0,1.0,5.0,5.0,6.0,Batsman,171.0
F du Plessis,4571.0,3435.0,125.0,138.0,36.57,133.07,422.0,166.0,16.0,0.0,6.0,1.0,16.0,0.0,0.0,Batsman,138.0
SV Samson,4419.0,3270.0,142.0,162.0,31.12,135.14,352.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batsman,162.0
AT Rayudu,4348.0,3490.0,152.0,185.0,28.61,124.58,359.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batsman,185.0
G Gambhir,4217.0,3524.0,135.0,151.0,31.24,119.67,492.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batsman,151.0
SR Watson,3880.0,2892.0,126.0,141.0,30.79,134.16,377.0,190.0,2742.0,107.0,2137.0,105.0,7.7,25.63,19.97,All-rounder,141.0
